RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD
RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD
RD,RD,,,,rd,,,,rd,,,,rd,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,rd,,,,rd,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,rd,,,,rd,,,,,rd,,,,RD,RD
RD,RD,rd,rd,rd,rd,rd,rd,rd,rd,,,,rd,,,,,rd,,,,RD,RD
RD,RD,,,,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,,,,rd,,,,,,,,,,,,,rd,,,,RD,RD
RD,RD,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,rd,,,,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,rd,rd,rd,rd,rd,rd,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,,,,,,rd,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,,,,,,rd,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,,,,,,rd,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,,,,,,rd,RD,RD
RD,RD,,,,,,,rd,rd,,,,,rd,rd,rd,rd,rd,rd,rd,rd,RD,RD
RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD
RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD,RD